,Correlation,p-value,L1 Loss
8dd27e7a4605e1d0bd0cd98a3bd06f9e,0.482,0.0,0.82
c9c39c486a65e5a1e56b27f81e7ce8d2,0.196,0.051,0.9
5c5803665c9e7294b2f16ff0a437c3cd,0.482,0.0,1.1
8e926a0669f4a19b52dcbaca6694cd54,0.216,0.031,1.31
aa85247cd6319246aeba20a162b7549c,0.495,0.0,0.85
177f3fc619ad0bb83d37a718990fac66,0.457,0.0,0.86
afa7683d3fa90ac9da8765ebf556b165,0.397,0.0,1.01
1feafa9e4924a78e25a2b89faad1450f,0.499,0.0,1.04
917c38788ea36d939a7a57d4db35c494,0.112,0.269,1.07
152483cd8dbb049e6d00f543fbd1fae8,0.537,0.0,0.93
476de147781dfa0bfcf1b615f2b97127,0.265,0.008,1.11
32ffeb1d83b1d7f12e2c1f49429cb2e4,0.29,0.003,1.07
a9a90e403f446c6d5d8897190ab88951,0.338,0.001,1.18
c6cbc0a5624be49f9abff91679b69db6,0.258,0.01,0.92
b3d95a10900d84b5f9640475418dd21c,0.555,0.0,0.77
05d9d2439ceb3505dfcdb4fc228a384b,0.587,0.0,1.0
fb12d7149d23e03568ba12801ae32f2f,0.435,0.0,1.08
8b49afb6c3eae94e2a17c0bab77014ad,0.41,0.0,0.89
c328877110a7f1f31b7a40185b073b9c,0.412,0.0,0.77
24d04617cd7c2b230b3a7717646d3ba9,0.338,0.001,1.11
987935184b6b435a263d09917975a0e0,0.579,0.0,0.97
5ff77c8ce71c2dcb0b0cb6ccb9b48611,0.396,0.0,1.04
c6671c1b0e73bd8a0c0b136cd5de2932,0.368,0.0,1.0
2b03fed6689963629bed97bfd4d594cc,0.131,0.194,1.14
9d42db3ef03b993c25deb4b75e371d65,0.593,0.0,0.77
b2cbf0900dadd9149e90a359f3c97c25,0.538,0.0,1.08
a4bc73945810fc8f0db4f1bb3b54ddab,0.484,0.0,0.99
42805f69c284ed80da21df47733de190,0.234,0.019,1.11
7218052ef2b5e0df709f746a23d6f08b,0.641,0.0,0.83
56e82fc5ad33992839505dc85fcca0f6,0.534,0.0,0.67
6f2bebc01062eb8334dccba3e048fdb5,0.707,0.0,0.74
60f6a4acc69129b60da7bc1c5fa181e8,0.411,0.0,1.15
535ed2ff0b7d4555b81e7e4440f147ac,0.519,0.0,0.87
35368b35a1b074b556fc888b14658094,0.621,0.0,0.86
f79b3b225ce60ce956cdd8ca65dfdbdc,0.513,0.0,0.85
95a4fae5283a3fc1b4713011c387afca,0.605,0.0,0.88
485f69576f2e9d0dc70384d1555d3a8a,0.45,0.0,1.1
695e68e41680b3fcc691b2759ffe2db6,0.458,0.0,0.91
dbc8a516df2054c1170e449bfaef1603,0.246,0.014,0.76
c82d4f19686e5a7aca3d44e6c41305c6,0.43,0.0,0.72
55f10509a66ab4a01e3934a655e35339,0.58,0.0,0.81
