,Correlation,p-value,L1 Loss
ba9446ff1ec10c5360664e08c7996cb7,0.378,0.0,0.98
d3c090a579ff20a744724c4e50d99550,0.251,0.012,1.34
6245e76dc8ce6590d2a732ab0d43bc59,0.493,0.0,0.88
fbda88d27f90d85e10f86c3893d8ebe1,0.242,0.015,0.96
d89d757d77d2b6f2785ae7e1cd1c4c83,0.436,0.0,0.81
6b87348fc07ad6a40a4fd9d1824ac4c3,0.395,0.0,0.57
79cbbe278e61c7bcc0d174f3da74ec4e,0.568,0.0,0.88
a2de7c4e0e57db1e17d0bb70be8f21a9,0.628,0.0,0.94
4a774ca406977b32f9a15e28cdd19110,0.343,0.0,0.9
447506414b54e91707d4ab067863488b,0.533,0.0,0.99
387a7ff24b6d04ba065398d8f0f5c66c,0.31,0.002,0.91
21089e33cb7cc8603e738db28ee349a2,0.4,0.0,0.9
aea5f0d1397018f06cd2121940270d32,0.486,0.0,0.83
141d0e5a91fd9f8363eb56aa7ed2d826,0.678,0.0,0.7
d1a24e0751331d9e7daa5e590308c6bf,0.212,0.034,0.72
961be32f9dd3877abb71d6f7dc207906,0.492,0.0,1.03
e618dbf0bb6006fceec53da696a9af68,0.423,0.0,1.13
50b92b9079bb0ec65f3995dfa1579706,0.452,0.0,0.9
1c075e693bdab3c024e8c044246aaddb,0.407,0.0,0.9
85d60e6abdb7801267b88c8ddb003c4f,0.464,0.0,0.72
670393ada2868c028510a3bd4a2cc262,0.687,0.0,0.82
209b528915023c019374e57ebf60712f,0.438,0.0,1.06
a56aa3d85d8f285f8a8edc9e51c323e6,0.358,0.0,0.88
c091f95eff855c377ecefb6becf74a48,0.56,0.0,0.81
0ab5e0ac5f4e0528041481299ed280d9,0.579,0.0,0.76
abf03a17fdfc32ce6791f912903926c7,0.609,0.0,0.65
3da8292a5d677189e1f3e05aec552c31,0.214,0.033,1.19
17a03f39cdf8b87f8b2c040ec171ab56,0.542,0.0,0.83
29754c84da7a3d42671de803322f1406,0.507,0.0,0.93
5922f1b2652761e6759797bfe53a5256,0.327,0.001,1.06
94b7c907267d52078e9a1e74dbeccab6,0.376,0.0,0.8
a4a6525085ec9c8c72d5f2fc7eee7f6c,0.456,0.0,0.85
4686385de612e62e116f7265cdac8b29,0.367,0.0,1.44
e258f7b95c5f107c962df5e312597199,0.631,0.0,0.72
f039319ac444e688644dea7d8141543e,0.571,0.0,0.95
1e8f853d8d5cbe7b5b523e31b076fd50,0.433,0.0,1.06
550b56f02dff65cb31ea7f0ab522738a,0.288,0.004,0.93
76fea1852254cb4c738afe7a0540a9b6,0.416,0.0,0.91
02a60e7aa7bfb0bb9e1ce4c4d9d7ece8,0.309,0.002,0.96
7f32cebae2e681bce773258dceae0b3d,0.58,0.0,0.8
fa587579c6fcedd24f75eeb659a125d4,0.445,0.0,0.91
d53c5d9d163d5ad9d3e77db711c7fa0c,0.529,0.0,0.91
318f8ed940682bec0f3a89b38ab7db63,0.352,0.0,0.89
148ae6c97255907bd8706759f7addcea,0.447,0.0,0.9
579c0bdbb1cc7cb1434e38b8cbd20d40,0.356,0.0,0.93
3f969c54b8cc5d92ad9663373ceee3c1,0.28,0.005,0.88
f4821feabdb53693ca150b0168b77040,0.328,0.001,1.23
57f99525840bdf68c8566ac6844648c2,0.454,0.0,0.87
3f1a990f7565ce62ce3808c1b07816ba,0.332,0.001,0.56
aa1de80c3e0d161e6a98aa9fab976bf3,0.523,0.0,0.82
91085d1c150ed2a0accda9288c6ba39b,0.573,0.0,0.89
eca8de9ad6f3880a95107571d346d605,0.494,0.0,1.04
f58d2109d9c69e97f3632228becc3e0c,0.534,0.0,1.04
697db9fb0f8f3c4258b8d14e6ed83615,0.408,0.0,0.61
6ed91fcf1b6e7b3aa14148e0d145571f,0.77,0.0,0.72
c6b57b8c03ef474d089b60b665184bd0,0.553,0.0,0.87
2ba82ffc01f7b5d2c69d8e1106779021,0.38,0.0,0.97
2fec2c89de778205171cfea056755704,0.018,0.856,0.65
ec3c99a4aaadef54f32fe13f36d0ad7e,0.57,0.0,0.68
2c5436e0ce9f11867fe12736af883504,0.467,0.0,0.99
3f3cd5cca43a986f25c85d3124ac3ca7,0.422,0.0,0.95
9e45c4aa239396976be85cb5cf082e04,0.668,0.0,0.84
b340d50f95fb1245b1e67e9838518d6f,0.41,0.0,1.13
9607625a8b96e55fa0a454539f4171ff,0.511,0.0,0.84
b2692b8d472101bb11bd0aa05465e381,0.548,0.0,0.65
c1d80dbdcc036eb252e41fca4ac8acfe,0.381,0.0,1.03
8e52fa9b30a57b4e797c84604a91a49c,0.572,0.0,1.04
ac7e95fd6bbefcdeda0e9357b8af972f,0.484,0.0,1.12
5ccb92136d86f43bb95495d08d180916,0.39,0.0,0.67
c00b5c25ed67f71cf6732498d155577f,0.275,0.006,0.68
a28eb911aad029162befe9e541d9fb86,0.627,0.0,0.76
834581080436145f2d90bdcef951b266,0.387,0.0,0.91
2da97ae3e726643af3a4823e7081e3a7,0.597,0.0,0.96
a984dc04620ca06ad5fa3d8e0d8861f7,0.661,0.0,0.9
35d18830fe086865d1185b1d232ecf2b,0.568,0.0,0.83
acf7499afbf84eec03b867513a00d43f,0.618,0.0,0.77
a69928e2afd1345a1cbe29ca4b0c4a75,0.521,0.0,0.83
79a47bc432e24aa7bfe0cb1496530647,0.258,0.01,1.28
97052b19f1001357c6a9f93e076fdc4e,0.562,0.0,1.05
0b8935c5bc1dc02509ce07979d160543,0.458,0.0,0.86
6b95b12ee1679dfc5acfe6b4fc503cd6,0.532,0.0,0.82
d69da84be5a16afc4ea80fb4e2d8df51,0.643,0.0,0.91
7283c7eb8f205e3b946fa7a6e566e954,0.286,0.004,0.82
912724df3c9c7d2fa98273e9bc658596,0.336,0.001,0.95
2cdceeb2d92640bfcc44e30adebb8d30,0.465,0.0,0.84
39d0445415c158665ece67b5285b4479,0.673,0.0,0.59
db21d65f04a31463b8bd1b71f2291812,0.468,0.0,0.57
9e7ebc8082b0e7e92e7aedd3ba562d84,0.762,0.0,0.74
c876f829cdd7ae37bab5e605da847d35,0.569,0.0,0.81
0d0e8a45f4fd5a922338838066a247e4,0.275,0.006,1.15
4db84533099e326d0c87ba136c3d6646,0.45,0.0,0.78
96487b200f227f3f845bb8851dad2139,0.418,0.0,1.0
76be9b1358ddf8c9e48710123f588d77,0.487,0.0,0.84
456318e3b9b9a9686f434456607e40d5,0.367,0.0,1.15
63d25ec81941882a311294f2eddc4c28,0.358,0.0,1.04
43ddfd6cac611dba2a0b5870e2f8748b,0.302,0.002,1.01
5b4262b37d92e08102e75eabe4ba513d,0.418,0.0,0.93
33afc70c02874262f40d8d3398e5800d,0.697,0.0,1.03
a7d8eda8abe048d60d05410a1a0e6b2a,0.327,0.001,1.09
4c20ae4da223eb119e96a23d616f707c,0.67,0.0,0.84
d05ac0fb07c7669755662e104e61dae8,0.615,0.0,1.01
a3bc3e0f83c7f5f0db6c0d22a11d464d,0.244,0.014,0.78
6d532e15130603bca8c7e08c8c7e1411,0.589,0.0,0.81
0c3b64ffd5c32a684a4953b1e92f528e,0.382,0.0,0.61
4408a88fea20ab63bc815e32c70efb55,0.488,0.0,0.84
401db1d337e4dbbc901d96cdad269cab,0.718,0.0,0.9
855f69267caba188c45901861dd0c639,0.265,0.008,0.9
08dff723d5e0a2e80e2d5917a0f70c82,0.188,0.061,0.87
54a76824a4f38734ad2ec4979084edb1,0.43,0.0,1.17
d40676249cecbf58a2020375cc9e51ba,0.434,0.0,1.02
4605460907ca247dba0b5109743a4ced,0.592,0.0,0.79
306151b6fc2f4b7bfabb0b5aebd2f109,0.627,0.0,0.94
d7a646c5359623480d9de7221c1900e6,0.455,0.0,0.75
9725e09d77767382d4c01002508e0f54,0.496,0.0,0.81
e8270c48249db4d18444a472c0d15aba,0.547,0.0,0.98
6b621fa2c60a8c5f651f1f71d0da697b,0.562,0.0,1.04
756dc8ffdb236127acaf304fc33c068e,0.378,0.0,0.84
7b3a2a1578b4cde3d3765774d67f6598,0.276,0.005,1.13
89255508480b68b6aa58254de5f696d0,0.489,0.0,0.93
bb8d02e75246530fd985d0247a9e781b,0.711,0.0,0.9
a665799dc710d9c8e2afacb0f83a65b4,0.475,0.0,0.78
5971e3935a3ee78537cae75f46410a55,0.421,0.0,0.95
6251adfa7438afc3d7ef7806d81fcc69,0.547,0.0,0.71
f38555d870737110968955840c49c8b0,0.541,0.0,0.7
0bfa3d952ffed50f25011b128e73a820,0.489,0.0,0.84
7117e854e77e64e47e7b5493c43f9daa,0.435,0.0,1.03
d26fa5c15a3a040d216ed844a20220b5,0.596,0.0,0.71
ac110f0ce90f99a6f7be237dcde516d1,0.573,0.0,1.08
ad9e4c4d1441ea848708f6698cc346cc,0.263,0.008,1.15
c4371b2431c895c99484e9743ed14757,0.365,0.0,1.22
390c0ffc9844a937f7a54c93eed1ce31,0.41,0.0,0.84
d50a3b5dd74d7a8eb2089396d2d35658,0.222,0.027,1.17
adce07abfc7c43bce71e5a849ede6861,0.347,0.0,1.06
14a223495c0d79f1efb879dc0a49280d,0.365,0.0,0.83
78734cb5a121b6cbb6fb262f15822064,0.52,0.0,1.07
b9c697cae802bfc0f99b2253d9db35fe,0.172,0.088,1.05
470275ae9394873b7d4085eabe88dcc5,0.774,0.0,0.75
2fc75526421cbdd83448cdefc5552a6e,0.519,0.0,0.94
2e3a70d73034217ccfe649b716e14620,0.409,0.0,0.88
8edd6be7b96799dcaeb4a3266cfc8dde,0.533,0.0,1.09
5bb7959b03d71d9d6d27bfaeb405e388,0.591,0.0,0.86
09c153a0267ff12cd4db69b50796243f,0.377,0.0,1.2
b63843a3e743088210cf4500f9981235,0.576,0.0,0.86
04622af4610eee2798b9b41ad5ca4ce4,0.492,0.0,1.14
2f7bf9a82b8e2ef6efed2b588c9b562b,0.594,0.0,0.91
4b746558b2e72e51d6e0840df376166f,0.551,0.0,0.75
a5034f52dbf8c0e47d7924e4f118782a,0.423,0.0,1.03
9d1eaec369c6f2c62a85333ba666dbdc,0.592,0.0,0.66
48bce2e7aee06ff65b83872fdbb14b2b,0.405,0.0,1.01
fa20dff407fb111cfa8323a0165574f3,0.044,0.663,0.98
5627796bebbebac8c5c4f3018885a8cf,0.376,0.0,1.06
b1002474406baa763550a27e1884be33,0.397,0.0,1.04
398a847dd3bef60a2a5a3da7e7e991de,0.281,0.005,0.67
4c517d27c86e787ac6f0b8dcfdeba614,0.638,0.0,0.87
d1bd17f3abc711f8013e113cfc21e1c1,0.388,0.0,0.85
72b90a7a6bb18d2dc54322c99c05626b,0.571,0.0,0.71
7041d73726ce05fff9a1290a0ffe6b05,0.582,0.0,0.65
90842ab1892b8046b37e1dcdb2489300,0.551,0.0,0.96
47fb64a97ba607dbd89bc5f18ec35b54,0.215,0.032,0.84
ab3b4c66fe29289ad91c38b572215748,0.518,0.0,0.83
3b72a1f4fcc98c138a577fce0dcf4a26,0.675,0.0,0.96
55a1145daf8b43a2a53f85fe413d80ae,0.56,0.0,1.0
6e5d1b7e671ad1a8cdc44da536edfafd,0.393,0.0,0.72
69ff492fe2f2a7138ba237adacafc76a,0.419,0.0,0.83
38354c9602eb29541b66d9e6c5f470d2,0.327,0.001,1.18
55bc134d3530592e0c1792595ff4d66a,0.506,0.0,0.85
3251a6c3249345d1471e71e0ec4f2df3,0.62,0.0,0.6
99b701c022d35c1bb0d3aad9c51f69e6,0.67,0.0,0.95
b69ac6f2567cc1da7e07c5c7803c3036,0.497,0.0,0.84
6d6caa7a4b8d0947d688e37f80817797,0.46,0.0,1.09
3d4b3ebf8dc1e006b764e48673384a60,0.298,0.003,0.9
30481bb628609059e36f973ce94afbb4,0.341,0.001,1.11
1a8f50fe583b56bc1bc059e8568cdc4c,0.469,0.0,1.05
b3a94d24540c1b65bb0d9094c9b3e8eb,0.441,0.0,1.12
a6e19239dd23d3261043b2a175bb1403,0.534,0.0,0.83
eb7f6109aadb5f66bcf4d917ecc008e2,0.405,0.0,0.95
20b0a0cf30ae64d565c4cb0cbc04cbab,0.257,0.01,1.01
8ddb5868b583489a00f7fbc1b5835aba,0.139,0.166,1.14
033c223cf8e62cee42e6579a7985d591,0.246,0.014,0.95
b60ecae54ec3b826fef76deae5eea136,0.454,0.0,0.71
bdf98fb0eaee9b8ae561f18e8fa878a2,0.516,0.0,1.01
909697fe8c4744c2337b4e48d5083726,0.332,0.001,0.97
21d07c07986ed8bcf54782cdb6b9bdbe,0.574,0.0,0.88
4d88f513817bd15332cf8f49c16e5e81,0.183,0.069,1.05
8c4724ca3b85f7ef13b75348b00e6554,0.729,0.0,0.67
142ad55a63cb510feef08fb3b6a4c278,0.367,0.0,0.91
20193d704584f997991c7bd49032aa38,0.439,0.0,0.93
994395b021f1f2172c0fec0bc06041a4,0.49,0.0,0.94
6e91ed3560a5f36b9a5e12cde7afec05,0.49,0.0,0.88
326ae0f3695b312b3739bbac9c45d301,0.606,0.0,0.98
432d6607bbe05bf345d18b908a052655,0.43,0.0,0.84
61406e7c03757830a5bb59e553c6aaf4,0.572,0.0,0.66
c2c141d383aecab2bc5d8844ab016b86,0.268,0.007,0.84
3baa1aa1517905fe38b7cc6e02f643f1,0.568,0.0,0.77
22c92946401b3a1c46bb06b5906c0902,0.234,0.019,1.29
f85ef5c3077c30170063e6fb9f199666,0.401,0.0,1.05
db34ac78a3ac0534d594013449157a37,0.261,0.009,1.03
d65f9b3ab253016f63d57d63434512e2,0.474,0.0,0.86
8b02064b1455f8f25d1e5077daeff25d,0.512,0.0,0.89
758a13f21b50ee9c1d9a14714acf69a9,0.658,0.0,1.0
fc16dc582943e07048561a6c848c3b1b,0.279,0.005,0.87
741d2580531cb5338aaaa46b4f7b3b9b,0.705,0.0,0.95
a94c886650675cb1bb7a5c470dd7dd68,0.69,0.0,0.85
fccf0eb24c723ecf4e9d45338cf55fa6,0.293,0.003,1.14
4b6bdb9b0bb5239e8deeab0f6589b46d,0.347,0.0,1.13
e94fca8ec698548bc35b4b552ab3b154,0.419,0.0,0.78
f343befc1fd04f41529a5a7e2a36e1fc,0.621,0.0,0.83
d9da13e9a91548d365b5859f4a5f8446,0.457,0.0,1.11
02072e8d34d5e2cf57776c87c86fef2a,0.356,0.0,1.18
e02407c1154c455b5bf61bb673723af1,0.6,0.0,0.7
8bd3ffd66d577746ae1fcb419828bc9b,0.445,0.0,1.23
b6eecb2e28e8d58172713a283a9b6a88,0.514,0.0,0.92
75fe247eb34bfcb1e88e4ae71cd4fb16,0.534,0.0,0.85
a549b8c5268ec413bab2faab5d71d34b,0.465,0.0,0.9
e5902520e601fd7691f405dce02a35c4,0.579,0.0,0.74
9f17a3be3e5cc6256e4da256e94498c5,0.59,0.0,0.83
2ab8adccd947f9ec393d924eb7cb63ca,0.632,0.0,0.71
37346f9b6970c6d521e3fea90ac216b5,0.302,0.002,1.08
100c50cedbeeff03a98c60baa070e51f,0.453,0.0,0.92
dbdfbfda2a4205bd59b22758ceddd5af,0.593,0.0,0.61
9f017b9fa3665443a0e5b1eb407d8374,0.537,0.0,0.72
f6dbe08d25bfdd6b40f213851f5112ae,0.208,0.038,1.28
61f3baafa82af5a886dd446a3c36155b,0.642,0.0,0.99
c81f28cd056e95a758dd34a8f070c297,0.334,0.001,1.07
013de369b4865f8533c80c1adac3aaa0,0.491,0.0,0.65
86559dbc9b796c800052a7f0e61314b2,0.642,0.0,0.84
7d0218d057a1cbb9433241f1ea6e8da4,0.378,0.0,0.79
f026d7e79e08c5915fd7b15c018857d6,0.434,0.0,1.09
e5a3304151d33e4ef2d03b0dd78664a4,0.545,0.0,0.82
9cc9d440a0c2c277e8008db83e64c522,0.414,0.0,1.01
9bb30c26f762fcf75c8298e0636bed96,0.076,0.452,0.67
178bfd8b3c9209d2a375250be45f68a1,0.548,0.0,0.77
0da524f7aa920ca8515c206e654c9501,0.403,0.0,1.13
0511ddafa659f7a3142a332303d9a162,0.398,0.0,0.67
0264cf0bac66391d2e496f89618ee605,0.178,0.077,0.93
1af9a231b128714c8448f148011722fa,0.453,0.0,1.0
9da6a6682e25daf151117fc475120cb6,0.137,0.174,1.15
5b0a49625e6c864ee1a5e5e8aa80e7ac,0.683,0.0,0.82
75211ae986dfc5aa25847eaeb3bd4b4b,0.403,0.0,0.77
435e6dadb24659e8cf9a5e7937f4c71a,0.552,0.0,0.73
5a4c4a97233246753756253777054e8a,0.718,0.0,0.66
fb3dea63b83b5c868eb38c541c0046c5,0.339,0.001,0.77
1f16bacefaaf9df18d09ad51acf6181a,0.284,0.004,1.05
12f4afc5f00da20e75bc0244621a1808,0.495,0.0,1.13
194ac722756691f6928b78bcb19cef0a,0.37,0.0,0.97
9963eb029cd100ade5c37f057b7b13e9,0.358,0.0,0.7
8f6d3816aa37ae94916462f2e92811be,0.06,0.556,1.19
5f86969fe97dd82aba8a683fe7ce6460,0.547,0.0,0.78
5c8b838136fa3da3693ea8fae7ff4b46,0.659,0.0,0.59
19c0eca308739a3c969664d5db6e2684,0.78,0.0,0.77
933ebda7f36ed9259e3f8671841ee13a,0.625,0.0,0.81
bb0ffa4e1d0a1bdc553a84e18e6e3b69,0.287,0.004,0.95
1c427521751f2ea53e3f3492208898cf,0.295,0.003,1.09
e14f66f08e8d1628548a700e865b88a7,0.618,0.0,0.73
532d1385e22a47511a6732a4797e1183,0.522,0.0,0.81
cc4f6332b012496c68d4c8ba3850feaa,0.19,0.058,0.69
e2432c76eaa2704b499b2fd24c794a38,0.51,0.0,0.62
d2f9e50e7dda184b70baf297dca134f9,0.322,0.001,1.03
d60e940dae42932a56d140b598d49ca3,0.722,0.0,0.8
b2b9314b3fa59503eb93af47410e779c,0.53,0.0,0.98
6b7a0487c7e9706a5445598ebf264920,0.353,0.0,0.77
42261937f47ccd50b945f64f789879fd,0.302,0.002,0.91
fdf094b59ab9cacdc89f3b5ee8f64bda,0.104,0.304,0.99
916226af95ba28b70b3709b1de881fcb,0.251,0.012,0.96
e629f71b0febbffb257889e94fd7dfd5,0.567,0.0,0.93
e6a819a6a10858ccda0db41e45d14bea,0.387,0.0,0.68
417d73c70d97dfc6fb9fcb5cd0b0a470,0.347,0.0,0.95
83761786b10fef9cb3c89f9019ce9000,0.205,0.041,1.14
cd01bd17ad349108414a0a3a6100e6ec,0.389,0.0,0.92
4ffe4f5ae8dbe1f24c348698e8e38dca,0.512,0.0,1.04
15ed73748b7454fe63cd4f569b277139,0.579,0.0,0.6
211d9a2bf66c3a34e1008c6c92067bd5,0.656,0.0,0.82
c8593f86048daf77930ac1ff1525fd8e,0.67,0.0,0.89
0127b64eaf45daeb5a01eacf73ff0a6a,0.163,0.105,0.93
e72db17b733836675960851cda630ff1,0.457,0.0,1.19
f05727ee7845398420e7de7139a83a5e,0.461,0.0,0.89
0191bfcfc4186f1d9252d60a97f54c6a,0.65,0.0,0.91
6737240baadcd342b037752f1e07e344,0.222,0.026,0.9
4ee1254d0fb18436d3bcad00720722e8,0.522,0.0,0.92
d46ce696436ac8f1ea6668750c6bdf2f,0.6,0.0,0.75
5089ba7811044d321aec1a65b539d30d,0.163,0.105,1.17
a454053c75fc14764eeca4814466bf34,0.516,0.0,0.85
59b06445643180b63d1632139fe91c36,0.657,0.0,0.83
21c170e77747ce992e7fce708d54b426,0.344,0.0,0.88
daee1a1ca5d851ae0f83acb67a625848,0.547,0.0,0.81
a2bdc891cca34f3c1488abaa7ec3be69,0.502,0.0,0.93
a8bf4cea131529e96680a49b7d730131,0.254,0.011,0.76
eb4fad56f8ea5a5bdf5b80ccbb594c99,0.153,0.129,0.82
9dd5cb916449c68b91c67cf133a4770c,0.478,0.0,1.04
83bc1765ab0ebbbf55d8455328ba0632,0.348,0.0,0.84
462320353ad98ded5ea83471f86f75b4,0.721,0.0,0.72
0d8fa8c5a3ab6f989eeb86857642fb4e,0.538,0.0,0.79
27e6caa1edf335b39b73011307da72a0,0.098,0.332,1.07
ca985cfcec567110b326c595663b7ea1,0.318,0.001,0.89
894d530c3d9e1a41ae71eaffb5834bd1,0.643,0.0,1.1
c7a9f33cb7ea91f73f78ad79af19e272,0.705,0.0,0.81
02ce6ed4469d8bfdf652a7fc3cc371a5,0.693,0.0,0.76
cab64e7177c951ff09d8b707fcaee0ad,0.352,0.0,1.06
f38e55b7982cd10405c7c577021b0311,0.171,0.088,0.96
714fe90e2406a112d71e439e0ab5d2ed,0.631,0.0,0.84
07e15e1a990139ddc5f5c66bee9d49f2,0.384,0.0,0.8
37614db4c8c236c87fdb3de80122a680,0.158,0.117,1.23
949327d0360fcfb5da7f9e3caa7488e0,0.548,0.0,0.82
90de78be62d15839b111d8bd20d5019d,0.369,0.0,0.95
95ef3de118e218bca7f2229a23ff59af,0.476,0.0,0.9
dae3acaecfdf0a87fc17a7b6684a0932,0.452,0.0,0.92
c233199331993372265d4398c27655f4,0.495,0.0,0.83
87c27c042e2a8eb2c1ac6368aa7643a4,0.214,0.033,1.07
f2be14886af81932f9956f8f9d662dcb,0.535,0.0,0.72
44a8d8002329bc2d90ab179172fef5f4,0.594,0.0,1.1
055638f0a33b2df4031fadb86076861f,0.5,0.0,0.96
39ee14bbc6a17b5ca25f641e95e52877,0.445,0.0,0.9
5c2e066d518035a3133dc1467ab7df56,0.4,0.0,0.76
ac8b35f1a4059fb84a415cba72a66b89,0.206,0.039,0.84
f625aecd51df9e7c0ce14a565b1a525b,0.17,0.091,1.45
2a64c118b3e69a677f2193400c84e126,0.134,0.185,1.08
7c624d512b3860bfe66d45235fd4f4ff,0.506,0.0,0.91
363a29d90c458d687a89810a2cddf313,0.624,0.0,0.97
9b0690c834d082e2c3354eba8488a694,0.559,0.0,1.01
109421997f2c72fce37c2f1b03b8b360,0.363,0.0,1.1
c944c9528c1c6ff01d0b5812f6008ad4,0.467,0.0,0.96
43edda71a284ad0d07d9fed14b3ac511,0.405,0.0,0.96
035f4fc5178e67be76aaab9002b6cce6,0.567,0.0,0.76
e84d18e4ce196a210f0bf6101eadf583,0.306,0.002,1.09
c38d2923dd3c435e34bdd0ba91f3a10c,0.592,0.0,0.94
9f50174e61ae077e0b65799eca0d908c,0.313,0.002,0.97
a2394824ce4da042c0883b7adff2ea4d,0.434,0.0,1.26
011679a3ae49998801ada93d822b7302,0.383,0.0,0.88
204d9c9c1145b65def9cabba29407e1f,0.727,0.0,0.77
7bb6295594e2e3e905790bb38a826a93,0.513,0.0,0.98
2bbc37bf98a16437180fe1ceb059dd93,0.592,0.0,0.59
6bea4336d550425a045379e3aa5605eb,0.718,0.0,0.58
29d1eaf7b387bb4cb24ed328f654b8c9,0.695,0.0,0.67
6a183b7f850f82f32595e7c40c2360d0,0.518,0.0,0.88
ccc5140234fd56df6a2fe43bdde9e6ad,0.411,0.0,1.06
b285c030613581c716942dc97ecb6c0e,0.26,0.009,1.0
0814754f4657e98573e127e8dfec7c5b,0.137,0.175,1.48
5c048da9d68156cff2975530099a2906,0.714,0.0,0.93
c04d941f2b4342b111bfd88c6c1ab77b,0.546,0.0,0.97
629326ddd9f0cf6126c129c1c495f86e,0.563,0.0,0.84
279969203046311b2174773c91b8575b,0.499,0.0,0.72
a6a94f4772202f7aa388e4ddd46ec9b1,0.507,0.0,1.03
0737e4e4980f56c9fb1cb5743001c917,0.559,0.0,0.75
b5e2c9cb36579dc3047ab70a2d3ca0fc,0.617,0.0,0.88
eea0e0c4a6b83083dd7f7dfbbc9cf561,0.666,0.0,0.68
8a4297e091e1741f61b94a9c8cd3f356,0.573,0.0,0.85
4849a54c84fdc0067d9981e6ee8978cc,0.414,0.0,0.81
228af27126d53201272fcc44bd342a96,0.588,0.0,1.0
bbbdf938e66d45739cb9164a858ec7ab,0.577,0.0,0.81
6934c1fa659b0cb8da5cb5396f7f28d1,0.504,0.0,0.9
aad0f42c30cbe7a964e9c71b8235e0e1,0.422,0.0,0.78
4e760a20930dd6e3af29d9026da4e225,0.582,0.0,0.96
c17a56deef2f505582a71c5edb5de385,0.59,0.0,0.99
ea28a927cb6663480ea33ca917c3c8ba,0.561,0.0,0.79
a654a0bec356dd64661790ebd810b160,0.193,0.054,0.67
e6ed9de01fb655f94a17529d7d67cfeb,0.444,0.0,1.01
e22eeee591d032675b1bf80b1664ec83,0.556,0.0,1.02
84669f1ef19cdba1d1abf8470896fbc0,0.52,0.0,1.02
0329a6cb289e7dd6c0845c04e210f789,0.597,0.0,0.82
bd2ca2412ef8accfbaca60dfd7bcf221,0.512,0.0,0.73
52cd7dd6a31ca225410f3cffb6bf2ee1,0.379,0.0,0.86
d2d34a7147b6c056d2c119a0862f0998,0.503,0.0,0.85
e7ec7849fc00d921296b3ad14df530de,0.506,0.0,0.82
3f87500a3f5082ac952ee3c52d53e62a,0.646,0.0,0.86
3b4fad31868192b8aee2dffb125f2ead,0.51,0.0,0.91
8203a6773a849317241320a1f58ff9c7,0.429,0.0,1.33
e8ed8551bdca6f054de6360c8aa55155,0.528,0.0,0.8
257ef2b36557faed75b422139ef1fd96,0.294,0.003,0.93
1886e4354c8aab9f806abf23de15ea09,0.428,0.0,0.85
a8502031767bee57a1f8677e3ed3d88c,0.4,0.0,0.77
cd5cb13bcb5e88ca26141e38df9ac2ff,0.487,0.0,1.02
2af06a0d2c453ef4340280ae57348351,0.465,0.0,0.79
c0ef89ebfa15dbbfc7a05996bc83da34,0.526,0.0,0.77
2395b34517fe5200b0476a3370377244,0.348,0.0,0.86
866926e8698078ee966c79518e83cc50,0.393,0.0,1.0
116042b00a09cc7f9d29082a777ec89f,0.608,0.0,0.79
b05cc1304a93b4ac4714169340321abc,0.438,0.0,0.91
06c080dac9cb7ea25fbfac01ea9062cc,0.385,0.0,1.04
7ffd332014e85b80ac56d745294872d5,0.179,0.075,1.28
f66e5e41d460d80fb500dbd74852ca74,0.73,0.0,0.77
7ebc039190a8c8f17dd235320cdb56fc,0.211,0.035,1.32
3bbf8fb344b4f013b2ef9d924cd28771,0.496,0.0,0.92
d15ccdf1522c40983734309a912c95ea,0.583,0.0,0.8
afbd45bcaa49ee9fa6338ae64905fbe6,0.495,0.0,1.09
83e8e5a188246f1e7c8451bd907ccb4d,0.146,0.148,0.95
b514f1c45f77d38c3e5ca3a753701ddd,0.608,0.0,0.69
2909d558fb588021b53d10f4ae44664d,0.654,0.0,0.85
2869cf17ab6b18f5f077b1cac38d8d46,0.437,0.0,0.78
17021c62cc9afb4a9bb2a0fa930e84ae,0.565,0.0,1.01
cfcf2416c558887da9dfb1dad3df1594,0.428,0.0,0.96
6ead0b828757b484f096bf6974eabb2a,0.384,0.0,0.8
ea5ad3c1fdd4734a0f574e1c0bf8b0b2,0.413,0.0,0.91
c9586d55ce84d4173a2959eee3d3bd92,0.509,0.0,0.87
563a7bcd2dc50d05d0e32f310a8ff2bc,0.276,0.005,1.2
e7759fc613f5230e3efa7abf11a3ea1c,0.697,0.0,0.74
7bac8130f9ad1fb3ab34d36f170a6b6e,0.436,0.0,0.9
f9a44de4208707cdff3970cebda6e1c7,0.546,0.0,0.89
5e6d887e4f9e782a6001e99af1640308,0.61,0.0,0.78
47b105fa83c10196a981359ab8b5be96,0.348,0.0,0.64
c3f46996548d5776337472fb9b57a37b,0.665,0.0,0.75
40c0e845e60ff1c420c3e9d5456bf330,0.704,0.0,0.79
3f102e4559588c2af702568d5405cc78,0.61,0.0,0.84
ee80aa6626e9830f4838c5cda694c51c,0.61,0.0,0.88
3ef815c0f6252f588794df93d0ba69cb,0.247,0.013,0.93
5175a022eefb803aec89850835581882,0.17,0.092,1.14
4ab72b9e13e8ac3502ac5645b7ded9fd,0.37,0.0,0.9
411d1dd104fca10c8228eef7794b63e4,0.614,0.0,0.57
794fe17b30ead806f7687dbdf2da3fa4,0.081,0.423,1.26
ed63948fcdc570932f74facacca435ef,0.25,0.012,1.16
5e0a2789eee13374606eb25213853135,0.495,0.0,0.96
