Correlation,p-value,percentile,R1,R2,R3,R4,R5,R6,R7,R8,I1,I2,I3,I4,I5,I6,I7,I8,A1,A2,A3,A4,A5,A6,A7,A8,S1,S2,S3,S4,S5,S6,S7,S8,E1,E2,E3,E4,E5,E6,E7,E8,C1,C2,C3,C4,C5,C6,C7,C8
0.318042,0.0276,0.40669102265696355,2.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,5.0,5.0,1.0,5.0,5.0,4.0,4.0,4.0,2.0,4.0,4.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,5.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0
0.328281,0.022728,0.42363218526266166,3.0,3.0,1.0,1.0,1.0,5.0,1.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,5.0,5.0,3.0,4.0,4.0,5.0,4.0,5.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0
0.338746,0.018516,0.44058071359123185,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,1.0,2.0,3.0,4.0,1.0,4.0,5.0,5.0,1.0,5.0,4.0,2.0,5.0,5.0,4.0,5.0,1.0,4.0,2.0,4.0,4.0,5.0,4.0,4.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0
0.34882,0.015105,0.457529241919802,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,5.0,1.0,3.0,1.0,3.0,1.0,3.0,3.0,5.0,3.0,5.0,3.0,3.0,3.0
0.35831,0.012396,0.4744777702483722,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,5.0,5.0,5.0,1.0,2.0,5.0,5.0,3.0,2.0,3.0,1.0,3.0,5.0,1.0,1.0,3.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0
0.368164,0.010035,0.49142629857694237,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,5.0,3.0,5.0,5.0,1.0,5.0,5.0,4.0,3.0,5.0,5.0,3.0,5.0,1.0,1.0,1.0,2.0,4.0,2.0,4.0,1.0,3.0,4.0,1.0,3.0,4.0,3.0,5.0,4.0
0.377585,0.008151,0.5083748269055125,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,4.0,5.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,4.0,5.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,3.0,4.0,2.0,4.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0,4.0
0.387341,0.00653,0.5253307209569548,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0
0.396918,0.005219,0.5422792492855248,1.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,3.0,2.0,5.0,3.0,5.0,3.0,2.0,3.0,3.0,4.0,4.0,1.0,5.0,4.0,5.0,2.0,5.0,4.0,4.0,5.0,3.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0
0.406547,0.004139,0.559227777614095,1.0,4.0,1.0,3.0,1.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,5.0,4.0
